01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1995,Portugal,,Cursos Gerais,10º ano,,,,28.6
1995,Portugal,,Cursos Gerais,11º ano,,,,9.6
1995,Portugal,,Cursos Gerais,12º ano,,,,30.1
1995,Portugal,,Cursos Gerais,Total,,,,21.5
1995,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,26.1
1995,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,10.9
1995,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,26.5
1995,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,20.5
1995,Portugal,,Total,10º ano,,,,27.9
1995,Portugal,,Total,11º ano,,,,9.9
1995,Portugal,,Total,12º ano,,,,29.6
1995,Portugal,,Total,Total,,,,21.3
1996,Portugal,,Cursos Gerais,10º ano,,,,36.1
1996,Portugal,,Cursos Gerais,11º ano,,,,17.4
1996,Portugal,,Cursos Gerais,12º ano,,,,35.6
1996,Portugal,,Cursos Gerais,Total,,,,30.4
1996,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,48.5
1996,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,24.5
1996,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,43.3
1996,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,40.7
1996,Portugal,,Total,10º ano,,,,39.7
1996,Portugal,,Total,11º ano,,,,19.2
1996,Portugal,,Total,12º ano,,,,37.5
1996,Portugal,,Total,Total,,,,33.1
1997,Portugal,,Cursos Gerais,10º ano,,,,35.0
1997,Portugal,,Cursos Gerais,11º ano,,,,17.6
1997,Portugal,,Cursos Gerais,12º ano,,,,45.9
1997,Portugal,,Cursos Gerais,Total,,,,32.9
1997,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,48.0
1997,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,25.8
1997,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,59.3
1997,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,44.6
1997,Portugal,,Total,10º ano,,,,38.5
1997,Portugal,,Total,11º ano,,,,19.5
1997,Portugal,,Total,12º ano,,,,48.9
1997,Portugal,,Total,Total,,,,35.7
1998,Portugal,,Cursos Gerais,10º ano,,,,32.5
1998,Portugal,,Cursos Gerais,11º ano,,,,18.2
1998,Portugal,,Cursos Gerais,12º ano,,,,47.0
1998,Portugal,,Cursos Gerais,Total,,,,33.1
1998,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,45.6
1998,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,28.0
1998,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,57.2
1998,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,43.9
1998,Portugal,,Total,10º ano,,,,35.8
1998,Portugal,,Total,11º ano,,,,20.4
1998,Portugal,,Total,12º ano,,,,49.2
1998,Portugal,,Total,Total,,,,35.6
1999,Portugal,,Cursos Gerais,10º ano,,,,33.2
1999,Portugal,,Cursos Gerais,11º ano,,,,18.5
1999,Portugal,,Cursos Gerais,12º ano,,,,47.8
1999,Portugal,,Cursos Gerais,Total,,,,33.9
1999,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,45.2
1999,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,27.2
1999,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,57.0
1999,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,43.7
1999,Portugal,,Total,10º ano,,,,36.2
1999,Portugal,,Total,11º ano,,,,20.3
1999,Portugal,,Total,12º ano,,,,49.7
1999,Portugal,,Total,Total,,,,36.0
2000,Portugal,,Cursos Gerais,10º ano,,,,34.4
2000,Portugal,,Cursos Gerais,11º ano,,,,19.3
2000,Portugal,,Cursos Gerais,12º ano,,,,48.1
2000,Portugal,,Cursos Gerais,Total,,,,34.9
2000,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,45.2
2000,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,26.8
2000,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,57.3
2000,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,43.7
2000,Portugal,,Total,10º ano,,,,36.9
2000,Portugal,,Total,11º ano,,,,20.8
2000,Portugal,,Total,12º ano,,,,49.8
2000,Portugal,,Total,Total,,,,36.8
2001,Portugal,,Cursos Gerais,10º ano,,,,36.1
2001,Portugal,,Cursos Gerais,11º ano,,,,22.9
2001,Portugal,,Cursos Gerais,12º ano,,,,51.3
2001,Portugal,,Cursos Gerais,Total,,,,37.4
2001,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,49.7
2001,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,30.4
2001,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,57.4
2001,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,46.7
2001,Portugal,,Total,10º ano,,,,39.4
2001,Portugal,,Total,11º ano,,,,24.4
2001,Portugal,,Total,12º ano,,,,52.5
2001,Portugal,,Total,Total,,,,39.4
2002,Portugal,,Cursos Gerais,10º ano,,,,35.5
2002,Portugal,,Cursos Gerais,11º ano,,,,20.1
2002,Portugal,,Cursos Gerais,12º ano,,,,47.3
2002,Portugal,,Cursos Gerais,Total,,,,35.2
2002,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,49.5
