01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1996,Portugal,,Básico - 1º Ciclo,,,,,123.8
1996,Portugal,,Básico - 2º Ciclo,,,,x,
1996,Portugal,,Básico - 3º Ciclo e secundário,,,,x,
1996,Portugal,,Educação Pré-Escolar,,,,x,
1997,Portugal,,Básico - 1º Ciclo,,,,,109.5
1997,Portugal,,Básico - 2º Ciclo,,,,x,
1997,Portugal,,Básico - 3º Ciclo e secundário,,,,x,
1997,Portugal,,Educação Pré-Escolar,,,,x,
1998,Portugal,,Básico - 1º Ciclo,,,,,97.0
1998,Portugal,,Básico - 2º Ciclo,,,,x,
1998,Portugal,,Básico - 3º Ciclo e secundário,,,,x,
1998,Portugal,,Educação Pré-Escolar,,,,,7.5
1999,Portugal,,Básico - 1º Ciclo,,,,,79.6
1999,Portugal,,Básico - 2º Ciclo,,,,x,
1999,Portugal,,Básico - 3º Ciclo e secundário,,,,x,
1999,Portugal,,Educação Pré-Escolar,,,,,16.6
2000,Portugal,,Básico - 1º Ciclo,,,,,78.8
2000,Portugal,,Básico - 2º Ciclo,,,,,83.7
2000,Portugal,,Básico - 3º Ciclo e secundário,,,,,34.8
2000,Portugal,,Educação Pré-Escolar,,,,,17.1
2001,Portugal,,Básico - 1º Ciclo,,,,,82.3
2001,Portugal,,Básico - 2º Ciclo,,,,,88.8
2001,Portugal,,Básico - 3º Ciclo e secundário,,,,,38.3
2001,Portugal,,Educação Pré-Escolar,,,,,22.1
2002,Portugal,,Básico - 1º Ciclo,,,,,83.4
2002,Portugal,,Básico - 2º Ciclo,,,,,88.6
2002,Portugal,,Básico - 3º Ciclo e secundário,,,,,41.6
2002,Portugal,,Educação Pré-Escolar,,,,,24.7
2003,Portugal,,Básico - 1º Ciclo,,,,,82.7
2003,Portugal,,Básico - 2º Ciclo,,,,,97.1
2003,Portugal,,Básico - 3º Ciclo e secundário,,,,,52.1
2003,Portugal,,Educação Pré-Escolar,,,,,26.9
2004,Portugal,,Básico - 1º Ciclo,,,,,78.2
2004,Portugal,,Básico - 2º Ciclo,,,,,98.3
2004,Portugal,,Básico - 3º Ciclo e secundário,,,,,57.3
2004,Portugal,,Educação Pré-Escolar,,,,,31.8
2005,Portugal,,Básico - 1º Ciclo,,,,,67.6
2005,Portugal,,Básico - 2º Ciclo,,,,,110.2
2005,Portugal,,Básico - 3º Ciclo e secundário,,,,,64.5
2005,Portugal,,Educação Pré-Escolar,,,,,35.2
2006,Portugal,,Básico - 1º Ciclo,,,,,59.9
2006,Portugal,,Básico - 2º Ciclo,,,,,125.2
2006,Portugal,,Básico - 3º Ciclo e secundário,,,,,81.8
2006,Portugal,,Educação Pré-Escolar,,,,,39.0
2007,Portugal,,Básico - 1º Ciclo,,,,,77.7
2007,Portugal,,Básico - 2º Ciclo,,,,,141.1
2007,Portugal,,Básico - 3º Ciclo e secundário,,,,,88.5
2007,Portugal,,Educação Pré-Escolar,,,,,52.2
2008,Portugal,,Básico - 1º Ciclo,,,,,77.1
2008,Portugal,,Básico - 2º Ciclo,,,,,171.6
2008,Portugal,,Básico - 3º Ciclo e secundário,,,,,101.0
2008,Portugal,,Educação Pré-Escolar,,,,,67.0
2009,Portugal,,Básico - 1º Ciclo,,,,,74.3
2009,Portugal,,Básico - 2º Ciclo,,,,,145.2
2009,Portugal,,Básico - 3º Ciclo e secundário,,,,,93.1
2009,Portugal,,Educação Pré-Escolar,,,,,71.9
2010,Portugal,,Básico - 1º Ciclo,,,,,82.7
2010,Portugal,,Básico - 2º Ciclo,,,,,140.5
2010,Portugal,,Básico - 3º Ciclo e secundário,,,,,102.6
2010,Portugal,,Educação Pré-Escolar,,,,,80.0
2011,Portugal,,Básico - 1º Ciclo,,,,,101.0
2011,Portugal,,Básico - 2º Ciclo,,,,,146.0
2011,Portugal,,Básico - 3º Ciclo e secundário,,,,,117.8
2011,Portugal,,Educação Pré-Escolar,,,,,103.0
2012,Portugal,,Básico - 1º Ciclo,,,,,150.2
2012,Portugal,,Básico - 2º Ciclo,,,,,204.0
2012,Portugal,,Básico - 3º Ciclo e secundário,,,,,179.8
2012,Portugal,,Educação Pré-Escolar,,,,,144.0
2013,Portugal,,Básico - 1º Ciclo,,,,,199.5
2013,Portugal,,Básico - 2º Ciclo,,,,,429.1
2013,Portugal,,Básico - 3º Ciclo e secundário,,,,,322.4
2013,Portugal,,Educação Pré-Escolar,,,,,191.4
2014,Portugal,,Básico - 1º Ciclo,,,,,318.6
2014,Portugal,,Básico - 2º Ciclo,,,,,634.2
2014,Portugal,,Básico - 3º Ciclo e secundário,,,,,517.9
2014,Portugal,,Educação Pré-Escolar,,,,,246.2
2015,Portugal,,Básico - 1º Ciclo,,,,,327.8
2015,Portugal,,Básico - 2º Ciclo,,,,,705.6
2015,Portugal,,Básico - 3º Ciclo e secundário,,,,,595.7
2015,Portugal,,Educação Pré-Escolar,,,,,276.3
2016,Portugal,,Básico - 1º Ciclo,,,,,433.4
2016,Portugal,,Básico - 2º Ciclo,,,,,919.7
2016,Portugal,,Básico - 3º Ciclo e secundário,,,,,802.9
2016,Portugal,,Educação Pré-Escolar,,,,,351.4
2017,Portugal,,Básico - 1º Ciclo,,,,,545.3
2017,Portugal,,Básico - 2º Ciclo,,,,,1157.5
2017,Portugal,,Básico - 3º Ciclo e secundário,,,,,1117.9
2017,Portugal,,Educação Pré-Escolar,,,,,430.6
2018,Portugal,,Básico - 1º Ciclo,,,,,725.6
2018,Portugal,,Básico - 2º Ciclo,,,,,1266.6
2018,Portugal,,Básico - 3º Ciclo e secundário,,,,,1352.3
2018,Portugal,,Educação Pré-Escolar,,,,,503.9
2019,Portugal,,Básico - 1º Ciclo,,,,,895.7
2019,Portugal,,Básico - 2º Ciclo,,,,,1442.0
2019,Portugal,,Básico - 3º Ciclo e secundário,,,,,1643.2
2019,Portugal,,Educação Pré-Escolar,,,,,597.1
2020,Portugal,,Básico - 1º Ciclo,,,,,1114.3
2020,Portugal,,Básico - 2º Ciclo,,,,,1452.5
2020,Portugal,,Básico - 3º Ciclo e secundário,,,,,1912.6
2020,Portugal,,Educação Pré-Escolar,,,,,642.0
2021,Portugal,,Básico - 1º Ciclo,,,,,1008.1
2021,Portugal,,Básico - 2º Ciclo,,,,,1248.6
2021,Portugal,,Básico - 3º Ciclo e secundário,,,,,1628.2
2021,Portugal,,Educação Pré-Escolar,,,,,661.3
2022,Portugal,,Básico - 1º Ciclo,,,,,968.1
2022,Portugal,,Básico - 2º Ciclo,,,,,1178.2
2022,Portugal,,Básico - 3º Ciclo e secundário,,,,,1495.4
2022,Portugal,,Educação Pré-Escolar,,,,,691.2
2023,Portugal,,Básico - 1º Ciclo,,,,,857.1
2023,Portugal,,Básico - 2º Ciclo,,,,,1089.2
2023,Portugal,,Básico - 3º Ciclo e secundário,,,,,1376.9
2023,Portugal,,Educação Pré-Escolar,,,,,731.7
2009,Abrantes,Município,Básico - 1º Ciclo,,,,,103.8
2009,Abrantes,Município,Básico - 2º Ciclo,,,,,121.1
2009,Abrantes,Município,Básico - 3º Ciclo e secundário,,,,,117.5
2009,Abrantes,Município,Educação Pré-Escolar,,,,,108.3
2009,Águeda,Município,Básico - 1º Ciclo,,,,,105.4
2009,Águeda,Município,Básico - 2º Ciclo,,,,,97.0
2009,Águeda,Município,Básico - 3º Ciclo e secundário,,,,,98.7
2009,Águeda,Município,Educação Pré-Escolar,,,,,54.5
2009,Aguiar da Beira,Município,Básico - 1º Ciclo,,,,-,
2009,Aguiar da Beira,Município,Básico - 2º Ciclo,,,,-,
2009,Aguiar da Beira,Município,Básico - 3º Ciclo e secundário,,,,,12.5
2009,Aguiar da Beira,Município,Educação Pré-Escolar,,,,-,
2009,Alandroal,Município,Básico - 1º Ciclo,,,,,33.3
2009,Alandroal,Município,Básico - 2º Ciclo,,,,,75.0
2009,Alandroal,Município,Básico - 3º Ciclo e secundário,,,,,22.2
2009,Alandroal,Município,Educação Pré-Escolar,,,,-,
2009,Albergaria-a-Velha,Município,Básico - 1º Ciclo,,,,,90.9
2009,Albergaria-a-Velha,Município,Básico - 2º Ciclo,,,,,85.7
2009,Albergaria-a-Velha,Município,Básico - 3º Ciclo e secundário,,,,,72.1
2009,Albergaria-a-Velha,Município,Educação Pré-Escolar,,,,,111.1
2009,Albufeira,Município,Básico - 1º Ciclo,,,,,48.1
2009,Albufeira,Município,Básico - 2º Ciclo,,,,,56.5
2009,Albufeira,Município,Básico - 3º Ciclo e secundário,,,,,30.5
2009,Albufeira,Município,Educação Pré-Escolar,,,,,55.0
2009,Alcácer do Sal,Município,Básico - 1º Ciclo,,,,,114.3
2009,Alcácer do Sal,Município,Básico - 2º Ciclo,,,,,77.8
2009,Alcácer do Sal,Município,Básico - 3º Ciclo e secundário,,,,,41.7
2009,Alcácer do Sal,Município,Educação Pré-Escolar,,,,,42.9
2009,Alcanena,Município,Básico - 1º Ciclo,,,,,91.7
2009,Alcanena,Município,Básico - 2º Ciclo,,,,,190.0
2009,Alcanena,Município,Básico - 3º Ciclo e secundário,,,,,100.0
2009,Alcanena,Município,Educação Pré-Escolar,,,,,166.7
2009,Alcobaça,Município,Básico - 1º Ciclo,,,,,67.2
2009,Alcobaça,Município,Básico - 2º Ciclo,,,,,234.6
2009,Alcobaça,Município,Básico - 3º Ciclo e secundário,,,,,73.8
2009,Alcobaça,Município,Educação Pré-Escolar,,,,,76.7
2009,Alcochete,Município,Básico - 1º Ciclo,,,,,31.6
2009,Alcochete,Município,Básico - 2º Ciclo,,,,,69.2
2009,Alcochete,Município,Básico - 3º Ciclo e secundário,,,,,55.6
2009,Alcochete,Município,Educação Pré-Escolar,,,,,100.0
2009,Alcoutim,Município,Básico - 1º Ciclo,,,,-,
2009,Alcoutim,Município,Básico - 2º Ciclo,,,,-,
2009,Alcoutim,Município,Básico - 3º Ciclo e secundário,,,,,6.3
2009,Alcoutim,Município,Educação Pré-Escolar,,,,-,
2009,Alenquer,Município,Básico - 1º Ciclo,,,,,37.0
2009,Alenquer,Município,Básico - 2º Ciclo,,,,,93.1
2009,Alenquer,Município,Básico - 3º Ciclo e secundário,,,,,54.9
2009,Alenquer,Município,Educação Pré-Escolar,,,,,56.3
2009,Alfândega da Fé,Município,Básico - 1º Ciclo,,,,,400.0
2009,Alfândega da Fé,Município,Básico - 2º Ciclo,,,,,200.0
2009,Alfândega da Fé,Município,Básico - 3º Ciclo e secundário,,,,,37.5
2009,Alfândega da Fé,Município,Educação Pré-Escolar,,,,,50.0
2009,Alijó,Município,Básico - 1º Ciclo,,,,,525.0
2009,Alijó,Município,Básico - 2º Ciclo,,,,,133.3
2009,Alijó,Município,Básico - 3º Ciclo e secundário,,,,,34.2
2009,Alijó,Município,Educação Pré-Escolar,,,,,100.0
2009,Aljezur,Município,Básico - 1º Ciclo,,,,,100.0
2009,Aljezur,Município,Básico - 2º Ciclo,,,,-,
2009,Aljezur,Município,Básico - 3º Ciclo e secundário,,,,,15.4
2009,Aljezur,Município,Educação Pré-Escolar,,,,-,
2009,Aljustrel,Município,Básico - 1º Ciclo,,,,,125.0
2009,Aljustrel,Município,Básico - 2º Ciclo,,,,,133.3
2009,Aljustrel,Município,Básico - 3º Ciclo e secundário,,,,,41.7
2009,Aljustrel,Município,Educação Pré-Escolar,,,,,83.3
2009,Almada,Município,Básico - 1º Ciclo,,,,,44.3
2009,Almada,Município,Básico - 2º Ciclo,,,,,134.1
2009,Almada,Município,Básico - 3º Ciclo e secundário,,,,,211.2
2009,Almada,Município,Educação Pré-Escolar,,,,,51.1
2009,Almeida,Município,Básico - 1º Ciclo,,,,,900.0
2009,Almeida,Município,Básico - 2º Ciclo,,,,,300.0
2009,Almeida,Município,Básico - 3º Ciclo e secundário,,,,,84.2
2009,Almeida,Município,Educação Pré-Escolar,,,,,400.0
2009,Almeirim,Município,Básico - 1º Ciclo,,,,,82.4
2009,Almeirim,Município,Básico - 2º Ciclo,,,,,166.7
2009,Almeirim,Município,Básico - 3º Ciclo e secundário,,,,,106.5
2009,Almeirim,Município,Educação Pré-Escolar,,,,,114.3
2009,Almodôvar,Município,Básico - 1º Ciclo,,,,,150.0
2009,Almodôvar,Município,Básico - 2º Ciclo,,,,,66.7
2009,Almodôvar,Município,Básico - 3º Ciclo e secundário,,,,,45.0
2009,Almodôvar,Município,Educação Pré-Escolar,,,,,100.0
2009,Alpiarça,Município,Básico - 1º Ciclo,,,,,75.0
2009,Alpiarça,Município,Básico - 2º Ciclo,,,,,66.7
2009,Alpiarça,Município,Básico - 3º Ciclo e secundário,,,,,42.9
2009,Alpiarça,Município,Educação Pré-Escolar,,,,,200.0
2009,Alter do Chão,Município,Básico - 1º Ciclo,,,,,100.0
2009,Alter do Chão,Município,Básico - 2º Ciclo,,,,,166.7
2009,Alter do Chão,Município,Básico - 3º Ciclo e secundário,,,,,35.3
2009,Alter do Chão,Município,Educação Pré-Escolar,,,,,200.0
2009,Alvaiázere,Município,Básico - 1º Ciclo,,,,,33.3
2009,Alvaiázere,Município,Básico - 2º Ciclo,,,,,100.0
2009,Alvaiázere,Município,Básico - 3º Ciclo e secundário,,,,,85.7
2009,Alvaiázere,Município,Educação Pré-Escolar,,,,-,
2009,Alvito,Município,Básico - 1º Ciclo,,,,,100.0
2009,Alvito,Município,Básico - 2º Ciclo,,,,,25.0
2009,Alvito,Município,Básico - 3º Ciclo e secundário,,,,-,
2009,Alvito,Município,Educação Pré-Escolar,,,,,100.0
2009,Amadora,Município,Básico - 1º Ciclo,,,,,38.7
2009,Amadora,Município,Básico - 2º Ciclo,,,,,161.5
2009,Amadora,Município,Básico - 3º Ciclo e secundário,,,,,167.6
2009,Amadora,Município,Educação Pré-Escolar,,,,,51.4
2009,Amarante,Município,Básico - 1º Ciclo,,,,,98.2
2009,Amarante,Município,Básico - 2º Ciclo,,,,,122.2
2009,Amarante,Município,Básico - 3º Ciclo e secundário,,,,,37.8
2009,Amarante,Município,Educação Pré-Escolar,,,,,70.0
2009,Amares,Município,Básico - 1º Ciclo,,,,,133.3
2009,Amares,Município,Básico - 2º Ciclo,,,,,200.0
2009,Amares,Município,Básico - 3º Ciclo e secundário,,,,,33.3
2009,Amares,Município,Educação Pré-Escolar,,,,,266.7
2009,Anadia,Município,Básico - 1º Ciclo,,,,,131.8
2009,Anadia,Município,Básico - 2º Ciclo,,,,,280.0
2009,Anadia,Município,Básico - 3º Ciclo e secundário,,,,,126.7
2009,Anadia,Município,Educação Pré-Escolar,,,,,100.0
2009,Angra do Heroísmo,Município,Básico - 1º Ciclo,,,,x,
2009,Angra do Heroísmo,Município,Básico - 2º Ciclo,,,,x,
2009,Angra do Heroísmo,Município,Básico - 3º Ciclo e secundário,,,,x,
2009,Angra do Heroísmo,Município,Educação Pré-Escolar,,,,x,
2009,Ansião,Município,Básico - 1º Ciclo,,,,,81.8
2009,Ansião,Município,Básico - 2º Ciclo,,,,,320.0
2009,Ansião,Município,Básico - 3º Ciclo e secundário,,,,,45.5
2009,Ansião,Município,Educação Pré-Escolar,,,,,75.0
2009,Arcos de Valdevez,Município,Básico - 1º Ciclo,,,,,173.3
2009,Arcos de Valdevez,Município,Básico - 2º Ciclo,,,,,228.6
2009,Arcos de Valdevez,Município,Básico - 3º Ciclo e secundário,,,,,69.7
2009,Arcos de Valdevez,Município,Educação Pré-Escolar,,,,,60.0
2009,Arganil,Município,Básico - 1º Ciclo,,,,,100.0
2009,Arganil,Município,Básico - 2º Ciclo,,,,,63.6
2009,Arganil,Município,Básico - 3º Ciclo e secundário,,,,,47.2
