Year,Region,Student_Dropout_Value,Teacher_Data_Value
2005,Portugal,32.1,64.5
2006,Portugal,31.1,81.8
2007,Portugal,24.8,88.5
2008,Portugal,21.0,101.0
2009,Abrantes,20.8,117.5
2009,Aguiar da Beira,7.7,12.5
2009,Alandroal,14.3,22.2
2009,Albergaria-a-Velha,15.5,72.1
2009,Albufeira,21.4,30.5
2009,Alcanena,19.8,100.0
2009,Alcobaça,16.5,73.8
2009,Alcochete,25.6,55.6
2009,Alcácer do Sal,19.4,41.7
2009,Alenquer,17.6,54.9
2009,Alfândega da Fé,30.3,37.5
2009,Alijó,23.7,34.2
2009,Aljustrel,19.7,41.7
2009,Almada,24.6,211.2
2009,Almeida,22.3,84.2
2009,Almeirim,17.5,106.5
2009,Almodôvar,19.4,45.0
2009,Alpiarça,20.5,42.9
2009,Alter do Chão,27.5,35.3
2009,Alvaiázere,19.1,85.7
2009,Amadora,26.9,167.6
2009,Amarante,8.5,37.8
2009,Amares,19.5,33.3
2009,Anadia,15.0,126.7
2009,Ansião,17.2,45.5
2009,Arcos de Valdevez,13.5,69.7
2009,Arganil,18.6,47.2
2009,Arouca,12.2,22.5
2009,Arraiolos,13.7,29.6
2009,Arruda dos Vinhos,19.1,46.7
2009,Aveiro,21.4,123.7
2009,Avis,14.2,18.2
2009,Azambuja,27.6,34.1
2009,Baião,30.3,5.1
2009,Barcelos,14.7,48.1
2009,Barreiro,23.1,177.2
2009,Batalha,22.7,37.8
2009,Beja,24.3,111.0
2009,Belmonte,19.5,137.5
2009,Benavente,22.0,44.2
2009,Bombarral,25.2,62.9
2009,Boticas,15.0,18.2
2009,Braga,16.3,104.8
2009,Bragança,21.7,152.9
2009,Cabeceiras de Basto,18.1,14.0
2009,Cadaval,24.5,23.5
2009,Caldas da Rainha,22.4,109.5
2009,Caminha,18.3,80.0
2009,Campo Maior,15.1,19.0
2009,Cantanhede,16.1,138.8
2009,Carrazeda de Ansiães,12.1,54.5
2009,Carregal do Sal,24.1,94.7
2009,Cartaxo,14.6,154.5
2009,Cascais,17.3,149.7
2009,Castelo Branco,17.5,173.1
2009,Castelo de Paiva,21.3,5.8
2009,Castro Daire,23.1,32.1
2009,Castro Verde,13.3,42.9
2009,Celorico da Beira,28.7,17.6
2009,Celorico de Basto,12.3,16.7
2009,Chamusca,26.0,80.0
2009,Chaves,14.1,140.3
2009,Cinfães,9.7,19.8
2009,Coimbra,20.4,189.5
2009,Condeixa-a-Nova,23.9,119.0
2009,Constância,11.4,46.7
2009,Coruche,15.3,107.1
2009,Covilhã,17.1,98.1
2009,Crato,10.2,50.0
2009,Cuba,31.9,37.5
2009,Elvas,26.8,64.2
